name,not_empty_result,co_evo_found
"HikariCP",no,no
"openscoring",yes,no
"dble",no,no
"photon",no,no
"servicecomb-pack",no,no
"nifty",yes,no
"kafka-streams-machine-learning-examples",yes,possible
"openapi-generator",not-found,no
"SpringMVC",no,no
"client_java",no,no
"jitwatch",no,no
"picasso2-okhttp3-downloader",yes,yes
"jmxtrans",no,no
"ea-async",no,no
"aws-sdk-java-v2",no,no
"logbook",yes,possible
"logstash-logback-encoder",not-found,no
"incubator-point",yes,possible
"enunciate",error,no
"docker-java",not-found,no
"objectify",no,no
"flowable-engine",not-found,no
"retrofit",yes,possible
"geotools",not-found,no
"modelmapper",not-found,no
"reactive-grpc",error,no
"metrics-spring",yes,possible
"pitest",yes,maybe
"error-prone",no,no
"shiro",yes,maybe
"ohc",not-found,no
"couchdb-lucene",no,no
"jongo",no,no
"ShedLock",not-found,no
"httpcomponents-client",yes,no
"ExcelUtil",no,no
"spring-cloud-function",error,no
"doctorkafka",error,no
"ff4j",yes,maybe
"minimal-json",not-found,no
"language-tool",no,no
"jolokia",not-found,no
"sofa-bolt",not-found,no
"webporter",yes,possible
"feast",no,no
"GeoIP2-java",no,no
"owlapi",yes,possible
"excel-streaming-reader",no,no
"sonar-java",no,no
"BroadleafCommerce",not-found,no
"swagger-maven-plugin",not-found,no
"FluentLenium",yes,yes
"BitHub",yes,yes
"nacos-spring-project",yes,not-likely
"vertx-web",no,no
"rocketmq-spring",no,no
"paoding-rose",error,no
"jolt",not-found,no
"uReplicator",yes,not-likely
"servicecomb-java-chassis",yes,yes
"goodsKill",no,no
"heritrix3",yes,yes
"jafka",no,no
"nanohttpd",no,no
"mybatis-3",not-found,no
"jersey",not-found,no
"signpost",no,no
"apk-parser",no,no
"artemis-odb",no,no
"cicada",no,no
"light-4j",yes,yes
"lavagna",no,no
"togglz",yes,maybe
postgresql-embedded,yes,not-likely
phoenix,no,no
psi-probe,no,no
gravitee-gateway,not-found,no
macrobase,no,no
dataverse,no,no
citrus,no,no
elide,no,no
galen,no,no
YCSB,no,no
chaos-monkey-spring-boot,yes,yes
rest-assured,no,no
s3proxy,not-found,no
Jest,yes,not-likely
QRGen,no,no
apollo,no,no
mockserver,no,no
TwelveMonkeys,no,no
alexa-skills-kit-sdk-for-java,not-found,no
isis,no,no
immutables,yes,maybe
wasabi,yes,yes
distributed-redis-tool,no,no

